"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"85","North East Lincolnshire",43.8753698289313,0.767566938300292,34.7469861973933,0.961761373690266,459,1.718739869
"86","North Lincolnshire",46.7907843691491,1.26664696731405,40.4967851038667,1.58710865004451,125,1.718739869
"87","North Somerset",34.0952010906948,2.20800148268823,34.3840628240377,2.76662585780836,5,1.718739869
"88","North Tyneside",52.9840670366255,1.71370136832228,39.8515692212371,2.14726781450781,61,1.718739869
"89","North Yorkshire",44.6205367688477,1.11648758702171,35.0086997625314,1.3989589465382,124,1.718739869
"90","Northamptonshire",46.2905876183366,0.752492298252557,40.2491565966464,0.942872849710454,326,1.718739869
"91","Northumberland",48.395303296508,2.07141655011779,41.6470365906562,2.59548493729759,54,1.718739869
"92","Nottingham",42.8267651661381,2.14918959740227,30.8551427083138,2.69293456554505,60,1.718739869
"93","Nottinghamshire",46.6984843435043,0.671621860737345,36.6249994479414,0.841542191503893,372,1.718739869
"94","Oldham",54.7642478869933,2.72263000720545,37.456128839776,3.41145539902843,27,1.718739869
"95","Oxfordshire",41.156050275457,1.08764929187213,37.8980609260784,1.36282456271577,73,1.718739869
"96","Peterborough",37.3620842063028,2.09984718944049,21.4124877114517,2.63110852836893,46,1.718739869
"97","Plymouth",37.8507505401645,0.949863623363956,28.4489012214942,1.19017912007504,211,1.718739869
"98","Portsmouth",49.9156156079075,2.23216476816969,42.5641885476076,2.79690245451662,54,1.718739869
"99","Reading",NA,0,NA,0,0,1.718739869
"100","Redbridge",49.3677170624322,1.37449782558428,47.9953507513861,1.7222457754571,60,1.718739869
"101","Redcar and Cleveland",49.6348497699749,1.35579233604545,41.9945594592999,1.69880779706495,126,1.718739869
"102","Richmond upon Thames",45.5657845962328,2.11953940102333,38.7794432151092,2.65578286948223,10,1.718739869
"103","Rochdale",41.8779205884432,1.05515369466655,33.7741257816203,1.32210757941718,157,1.718739869
"104","Rotherham",41.4091713560954,2.26793662676047,30.215848925374,2.84172459333087,38,1.718739869
"105","Rutland",50.0768844127419,4.40525087563243,25.9235032228808,5.51977934716744,12,1.718739869
"106","Salford",61.3734514433377,3.91650018871899,45.2123080581292,4.90737473646489,28,1.718739869
"107","Sandwell",48.942877031521,1.55451979317973,40.7295252481418,1.9478133008542,167,1.718739869
"108","Sefton",55.6640437703226,1.1733651654467,53.2901788643858,1.47022655230471,164,1.718739869
"109","Sheffield",42.4843343238242,0.919986633473159,33.7473209198889,1.15274325174187,184,1.718739869
"110","Shropshire",54.3577570916313,1.60746721670442,46.671391235826,2.01415642253063,52,1.718739869
"111","Slough",42.3054080037148,2.03271249434114,33.7741257816203,2.54698875540945,46,1.718739869
"112","Solihull",57.065040388021,1.58523005534953,53.5087554853943,1.98629325935296,63,1.718739869
"113","Somerset",36.9138539773148,1.31312738508331,23.283223569909,1.64534861350939,86,1.718739869
"114","South Gloucestershire",40.0805934801525,2.72774183184013,28.8619892508706,3.41786051529569,28,1.718739869
"115","South Tyneside",42.8158081940372,2.40052790769169,36.0460922767793,3.00786146833769,16,1.718739869
"116","Southampton",38.4953869448517,1.79129315038883,25.370897588938,2.2444903174372,55,1.718739869
"117","Southend-on-Sea",47.6522741206099,1.26646179357387,36.1271234996262,1.58687662734806,161,1.718739869
"118","Southwark",36.0419196721095,1.34142362730436,26.776841535932,1.68080380501236,96,1.718739869
"119","St. Helens",52.8936735111029,2.29592087025935,38.7081495889965,2.87678885043496,60,1.718739869
"120","Staffordshire",42.2021331345492,1.27882371044225,33.9145811639647,1.60236610918413,116,1.718739869
"121","Stockport",68.0763249271339,4.33322933119287,50.7014598875914,5.42953635198467,34,1.718739869
"122","Stockton-on-Tees",52.4988620890156,1.43184634546594,40.5354270743856,1.79410347086882,138,1.718739869
"123","Stoke-on-Trent",42.5677393016523,1.72314861567486,37.325875580763,2.1591052154406,78,1.718739869
"124","Suffolk",42.4186560992643,1.25807704607158,33.0821766278994,1.5763705387277,135,1.718739869
"125","Sunderland",49.7071351168974,2.00509091012039,42.52162435906,2.51237891038084,55,1.718739869
"126","Surrey",53.8864879429855,0.911368236015311,43.4115726790136,1.14194439972719,174,1.718739869
"127","Sutton",54.8447374639951,1.95566725922296,56.8470913891177,2.45045107580637,25,1.718739869
"128","Swindon",45.5305111687355,2.22085454842109,34.37479738,2.78273074917162,47,1.718739869
"129","Tameside",50.4606286554403,1.55390599428397,37.8980609260784,1.94704421083781,153,1.718739869
"130","Telford and Wrekin",45.6216742272265,1.64632382199869,36.7198828662003,2.06284374896436,55,1.718739869
"131","Thurrock",57.6180982239645,1.8701912231649,47.5964573351263,2.34334960262561,78,1.718739869
"132","Torbay",38.1000517479777,1.85199803327818,36.8058866651741,2.32055353569756,9,1.718739869
"133","Tower Hamlets",42.492988300665,1.03806308608302,34.1013304159586,1.30069304686202,158,1.718739869
"134","Trafford",43.7427516228293,1.58692972079437,40.305762532622,1.98842294015535,38,1.718739869
"135","Wakefield",37.4117729806828,2.18557192269987,28.6852227819056,2.73852161914294,47,1.718739869
"136","Walsall",38.4290352037796,2.61789565831084,39.9264078488826,3.28022325986349,21,1.718739869
"137","Waltham Forest",42.9911634971378,1.16761146230935,35.5234957051462,1.46301716227362,130,1.718739869
"138","Wandsworth",41.6287434086124,1.98358074837237,28.5081877389961,2.48542667771058,50,1.718739869
"139","Warrington",NA,0,NA,0,0,1.718739869
"140","Warwickshire",46.1740407641221,0.70223488624219,37.830626653968,0.879900312461464,269,1.718739869
"141","West Berkshire",34.1453463675076,2.91430916269696,30.0011460670696,3.65162938085929,13,1.718739869
"142","West Sussex",40.121094046241,0.747064571818216,28.3477495727067,0.936071908488225,273,1.718739869
"143","Westminster",41.9717576214504,2.63391529462656,33.8009732583943,3.30029586416709,32,1.718739869
"144","Wigan",54.942701096766,1.6873887797582,42.9113337472795,2.11429814103702,102,1.718739869
"145","Wiltshire",46.5256047671545,1.27401556546262,38.2388708264928,1.59634150352466,126,1.718739869
"146","Windsor and Maidenhead",35.5101783517193,3.36339018137591,35.3775598099854,4.21432789726401,4,1.718739869
"147","Wirral",48.5161217354119,1.18133064746002,38.3423123165555,1.48020730126741,127,1.718739869
"148","Wokingham",87.5928132924266,4.52938154108326,72.059704784586,5.67531507097732,2,1.718739869
"149","Wolverhampton",50.3703602906147,1.18450344075477,44.0637005497664,1.48418281126572,108,1.718739869
"150","Worcestershire",40.3614738957176,0.694596787877182,33.6139322996522,0.870329775210109,381,1.718739869
"151","York",45.5259975139231,3.4817980512036,36.7889919421345,4.36269295815811,18,1.718739869
