"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"211","Isles of Scilly",NA,0,NA,0,0,2
"212","Islington",34.317466497578,1.62776622120662,23.6624148539513,2.03959107517189,65,2
"213","Kensington and Chelsea",35.7520619926494,3.9991895963912,21.1476644887197,5.01098456427818,21,2
"214","Kent",36.8731085266167,0.602328245746868,29.7924657400766,0.754717291920826,409,2
"215","Kingston upon Hull",41.6292842460038,2.33361880045863,32.5894113921207,2.92402435697466,83,2
"216","Kingston upon Thames",26.2415286493842,5.17911410086209,17.9626545234702,6.4894299683802,9,2
"217","Kirklees",35.8298488598953,0.97522910803075,32.5894113921207,1.22196207236253,159,2
"218","Knowsley",41.8526384247373,1.97703868662203,31.2143184761106,2.4772294743374,69,2
"219","Lambeth",34.3988167315343,1.18380012303899,29.4245169634005,1.48330155416786,136,2
"220","Lancashire",36.9186371213137,0.473439870350288,29.1448107203013,0.593220157548911,830,2
"221","Leeds",30.4552005021473,0.638241542154303,20.3769223222222,0.799716652319342,331,2
"222","Leicester",31.5291440231606,0.686169436479749,26.0410748625706,0.859770303909125,158,2
"223","Leicestershire",43.9950983516049,0.988123562148596,32.4805077617377,1.23811882337219,169,2
"224","Lewisham",33.3225765524358,0.84171460851124,24.3603808213033,1.05466840446458,225,2
"225","Lincolnshire",33.5245651189813,0.780927723112387,26.1251775229524,0.978502437059821,252,2
"226","Liverpool",38.4878664129229,0.689564326126081,28.5596237444662,0.86402410063598,421,2
"227","Luton",46.8298581937858,2.90715509906615,34.6944053720049,3.64266533912988,58,2
"228","Manchester",22.8461737081245,0.626689806844824,15.7024102547658,0.785242327976564,405,2
"229","Medway",44.6157219731796,1.71107461318671,36.6267031806867,2.14397649032295,80,2
"230","Merton",29.5557688018838,1.94133688005795,20.7466210196371,2.43249511071261,21,2
"231","Middlesbrough",48.4566775845922,1.28447906700222,38.0794983259549,1.60945227095378,173,2
"232","Milton Keynes",39.2435777670002,1.02354483813429,30.8809910967434,1.28250168218227,173,2
"233","Newcastle upon Tyne",47.1312960117809,1.43813591363693,37.2405821750958,1.80198429978708,157,2
